Year,Scenario,Group,Metric,Value,% Reduction vs S0 (group)
2033,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.256319987068881,0.0
2034,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.2549519857757692,0.0
2035,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.2535839844826573,0.0
2036,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.2522159831895452,0.0
2037,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.2508479818964333,0.0
2038,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.2494799806033214,0.0
2039,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.2481119793102096,0.0
2040,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.2467439780170975,0.0
2041,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.2453759767239856,0.0
2042,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.2440079754308737,0.0
2043,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.2426399741377618,0.0
2044,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.24127197284465,0.0
2045,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.2399039715515379,0.0
2046,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.238535970258426,0.0
2047,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.2371679689653141,0.0
2048,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.2357999676722022,0.0
2049,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.2344319663790901,0.0
2050,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.2330639650859783,0.0
2002,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.29,0.0
2003,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.28,0.0
2004,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.27,0.0
2005,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.33,0.0
2006,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.33,0.0
2007,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.34,0.0
2008,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.28,0.0
2009,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.29,0.0
2010,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.27,0.0
2011,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.34,0.0
2012,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.3,0.0
2013,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.38,0.0
2014,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.34,0.0
2015,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.33,0.0
2016,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.32,0.0
2017,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.31,0.0
2018,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.31,0.0
2019,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.3,0.0
2020,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.29,0.0
2021,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.28,0.0
2022,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.28,0.0
2023,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.27,0.0
2024,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.2686319987068881,0.0
2025,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.2672639974137763,0.0
2026,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.2658959961206642,0.0
2027,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.2645279948275523,0.0
2028,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.2631599935344404,0.0
2029,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.2617919922413285,0.0
2030,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.2604239909482167,0.0
2031,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.2590559896551046,0.0
2032,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.2576879883619927,0.0
2033,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.256319987068881,0.0
2034,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.2549519857757692,0.0
2035,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.2535839844826573,0.0
2036,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.2522159831895452,0.0
2037,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.2508479818964333,0.0
2038,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.2494799806033214,0.0
2039,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.2481119793102096,0.0
2040,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.2467439780170975,0.0
2041,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.2453759767239856,0.0
2042,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.2440079754308737,0.0
2043,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.2426399741377618,0.0
2044,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.24127197284465,0.0
2045,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.2399039715515379,0.0
2046,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.238535970258426,0.0
2047,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.2371679689653141,0.0
2048,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.2357999676722022,0.0
2049,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.2344319663790901,0.0
2050,S2 (Fuel switch – HGV→HVO),HGV,Energy Intensity (MJ/t·km),1.2330639650859783,0.0
2002,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.29,0.0
2003,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.28,0.0
2004,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.27,0.0
2005,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.33,0.0
2006,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.33,0.0
2007,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.34,0.0
2008,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.28,0.0
2009,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.29,0.0
2010,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.27,0.0
2011,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.34,0.0
2012,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.3,0.0
2013,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.38,0.0
2014,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.34,0.0
2015,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.33,0.0
2016,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.32,0.0
2017,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.31,0.0
2018,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.31,0.0
2019,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.3,0.0
2020,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.29,0.0
2021,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.28,0.0
2022,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.28,0.0
2023,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.27,0.0
2024,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.2686319987068881,0.0
2025,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.2672639974137763,0.0
2026,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.2658959961206642,0.0
2027,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.2645279948275523,0.0
2028,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.2631599935344404,0.0
2029,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.2617919922413285,0.0
2030,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.2604239909482167,0.0
2031,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.2590559896551046,0.0
2032,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.2576879883619927,0.0
2033,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.256319987068881,0.0
2034,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.2549519857757692,0.0
2035,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.2535839844826573,0.0
2036,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.2522159831895452,0.0
2037,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.2508479818964333,0.0
2038,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.2494799806033214,0.0
2039,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.2481119793102096,0.0
2040,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.2467439780170975,0.0
2041,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.2453759767239856,0.0
2042,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.2440079754308737,0.0
2043,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.2426399741377618,0.0
2044,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.24127197284465,0.0
2045,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.2399039715515379,0.0
2046,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.238535970258426,0.0
2047,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.2371679689653141,0.0
2048,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.2357999676722022,0.0
2049,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.2344319663790901,0.0
2050,S3 (Van electrification),HGV,Energy Intensity (MJ/t·km),1.2330639650859783,0.0
2002,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.29,0.0
2003,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.28,0.0
2004,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.27,0.0
2005,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.33,0.0
2006,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.33,0.0
2007,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.34,0.0
2008,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.28,0.0
2009,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.29,0.0
2010,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.27,0.0
2011,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.34,0.0
2012,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.3,0.0
2013,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.38,0.0
2014,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.34,0.0
2015,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.33,0.0
2016,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.32,0.0
2017,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.31,0.0
2018,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.31,0.0
2019,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.3,0.0
2020,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.29,0.0
2021,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.28,0.0
2022,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.28,0.0
2023,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.27,0.0
2024,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.2686319987068881,0.0
2025,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.262389905116031,0.38461538461538325
2026,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.2561583346120437,0.7692307692307665
2027,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.2499372871949268,1.1538461538461497
2028,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.2437267628646798,1.538461538461544
2029,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.237526761621303,1.9230769230769162
2030,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.2313372834647962,2.3076923076923106
2031,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.2251583283951595,2.692307692307694
2032,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.2189898964123929,3.076923076923077
2033,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.2128319875164968,3.4615384615384492
2034,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.2066846017074704,3.8461538461538436
2035,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.200547738985314,4.230769230769226
2036,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.194421399350028,4.615384615384599
2037,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.1883055828016116,5.000000000000004
2038,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.1822002893400656,5.384615384615388
2039,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.1761055189653897,5.769230769230771
2040,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.1700212716775837,6.153846153846154
2041,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.163947547476648,6.538461538461537
2042,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.1578843463625825,6.923076923076921
2043,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.151831668335387,7.307692307692292
2044,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.1457895133950615,7.692307692307687
2045,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.139757881541606,8.07692307692307
2046,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.1337367727750207,8.461538461538465
2047,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.1277261870953055,8.846153846153848
2048,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.1217261245024606,9.23076923076922
2049,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.1157365849964853,9.615384615384615
2050,S4 (Combined high-impact),HGV,Energy Intensity (MJ/t·km),1.1097575685773804,10.000000000000009
2002,S0 (baseline),Ships,Emissions (ktCO2e),40225.06786561302,0.0
2003,S0 (baseline),Ships,Emissions (ktCO2e),40965.672224732174,0.0
2004,S0 (baseline),Ships,Emissions (ktCO2e),41089.82252964465,0.0
2005,S0 (baseline),Ships,Emissions (ktCO2e),39527.140536123305,0.0
2006,S0 (baseline),Ships,Emissions (ktCO2e),38719.24799994094,0.0
2007,S0 (baseline),Ships,Emissions (ktCO2e),37333.066676870425,0.0
2008,S0 (baseline),Ships,Emissions (ktCO2e),38216.41832268459,0.0
2009,S0 (baseline),Ships,Emissions (ktCO2e),48721.32469315617,0.0
2010,S0 (baseline),Ships,Emissions (ktCO2e),40725.60754405812,0.0
2011,S0 (baseline),Ships,Emissions (ktCO2e),38374.588631163206,0.0
2012,S0 (baseline),Ships,Emissions (ktCO2e),38370.989710244234,0.0
2013,S0 (baseline),Ships,Emissions (ktCO2e),39158.83253707414,0.0
2014,S0 (baseline),Ships,Emissions (ktCO2e),55600.83886742563,0.0
2015,S0 (baseline),Ships,Emissions (ktCO2e),53730.8304570716,0.0
2016,S0 (baseline),Ships,Emissions (ktCO2e),29607.82906178484,0.0
2017,S0 (baseline),Ships,Emissions (ktCO2e),34936.556437338266,0.0
2018,S0 (baseline),Ships,Emissions (ktCO2e),39447.63433950461,0.0
2019,S0 (baseline),Ships,Emissions (ktCO2e),28373.584524056758,0.0
2020,S0 (baseline),Ships,Emissions (ktCO2e),48611.428746767546,0.0
2021,S0 (baseline),Ships,Emissions (ktCO2e),30156.788763409742,0.0
2022,S0 (baseline),Ships,Emissions (ktCO2e),49240.58632975625,0.0
2023,S0 (baseline),Ships,Emissions (ktCO2e),46208.94320157988,0.0
2024,S0 (baseline),Ships,Emissions (ktCO2e),45435.932447703846,0.0
2025,S0 (baseline),Ships,Emissions (ktCO2e),47313.22243758716,0.0
2026,S0 (baseline),Ships,Emissions (ktCO2e),49423.44903836827,0.0
2027,S0 (baseline),Ships,Emissions (ktCO2e),51782.50835477462,0.0
2028,S0 (baseline),Ships,Emissions (ktCO2e),54406.29649153355,0.0
2029,S0 (baseline),Ships,Emissions (ktCO2e),57310.709553372464,0.0
2030,S0 (baseline),Ships,Emissions (ktCO2e),60511.64364501875,0.0
2031,S0 (baseline),Ships,Emissions (ktCO2e),64024.99487119983,0.0
2032,S0 (baseline),Ships,Emissions (ktCO2e),67866.65933664312,0.0
2033,S0 (baseline),Ships,Emissions (ktCO2e),72052.5331460759,0.0
2034,S0 (baseline),Ships,Emissions (ktCO2e),76598.51240422559,0.0
2035,S0 (baseline),Ships,Emissions (ktCO2e),81520.4932158197,0.0
2036,S0 (baseline),Ships,Emissions (ktCO2e),86834.37168558547,0.0
2037,S0 (baseline),Ships,Emissions (ktCO2e),92556.04391825042,0.0
2038,S0 (baseline),Ships,Emissions (ktCO2e),98701.40601854183,0.0
2039,S0 (baseline),Ships,Emissions (ktCO2e),105286.35409118712,0.0
2040,S0 (baseline),Ships,Emissions (ktCO2e),112326.78424091381,0.0
2041,S0 (baseline),Ships,Emissions (ktCO2e),119838.59257244912,0.0
2042,S0 (baseline),Ships,Emissions (ktCO2e),127837.67519052059,0.0
2043,S0 (baseline),Ships,Emissions (ktCO2e),136339.92819985538,0.0
2044,S0 (baseline),Ships,Emissions (ktCO2e),145361.24770518113,0.0
2045,S0 (baseline),Ships,Emissions (ktCO2e),154917.52981122513,0.0
2046,S0 (baseline),Ships,Emissions (ktCO2e),165024.67062271468,0.0
2047,S0 (baseline),Ships,Emissions (ktCO2e),175698.5662443773,0.0
2048,S0 (baseline),Ships,Emissions (ktCO2e),186955.11278094037,0.0
2049,S0 (baseline),Ships,Emissions (ktCO2e),198810.20633713133,0.0
2050,S0 (baseline),Ships,Emissions (ktCO2e),211279.74301767745,0.0
2002,S1 (Net-zero policy),Ships,Emissions (ktCO2e),40225.06786561302,0.0
2003,S1 (Net-zero policy),Ships,Emissions (ktCO2e),40965.672224732174,0.0
2004,S1 (Net-zero policy),Ships,Emissions (ktCO2e),41089.82252964465,0.0
2005,S1 (Net-zero policy),Ships,Emissions (ktCO2e),39527.140536123305,0.0
2006,S1 (Net-zero policy),Ships,Emissions (ktCO2e),38719.24799994094,0.0
2007,S1 (Net-zero policy),Ships,Emissions (ktCO2e),37333.066676870425,0.0
2008,S1 (Net-zero policy),Ships,Emissions (ktCO2e),38216.41832268459,0.0
2009,S1 (Net-zero policy),Ships,Emissions (ktCO2e),48721.32469315617,0.0
2010,S1 (Net-zero policy),Ships,Emissions (ktCO2e),40725.60754405812,0.0
2011,S1 (Net-zero policy),Ships,Emissions (ktCO2e),38374.588631163206,0.0
2012,S1 (Net-zero policy),Ships,Emissions (ktCO2e),38370.989710244234,0.0
2013,S1 (Net-zero policy),Ships,Emissions (ktCO2e),39158.83253707414,0.0
2014,S1 (Net-zero policy),Ships,Emissions (ktCO2e),55600.83886742563,0.0
2015,S1 (Net-zero policy),Ships,Emissions (ktCO2e),53730.8304570716,0.0
2016,S1 (Net-zero policy),Ships,Emissions (ktCO2e),29607.82906178484,0.0
2017,S1 (Net-zero policy),Ships,Emissions (ktCO2e),34936.556437338266,0.0
2018,S1 (Net-zero policy),Ships,Emissions (ktCO2e),39447.63433950461,0.0
2019,S1 (Net-zero policy),Ships,Emissions (ktCO2e),28373.584524056758,0.0
2020,S1 (Net-zero policy),Ships,Emissions (ktCO2e),48611.428746767546,0.0
2021,S1 (Net-zero policy),Ships,Emissions (ktCO2e),30156.788763409742,0.0
2022,S1 (Net-zero policy),Ships,Emissions (ktCO2e),49240.58632975625,0.0
2023,S1 (Net-zero policy),Ships,Emissions (ktCO2e),46208.94320157988,0.0
2024,S1 (Net-zero policy),Ships,Emissions (ktCO2e),45435.932447703846,0.0
2025,S1 (Net-zero policy),Ships,Emissions (ktCO2e),43863.15017066795,7.291983274803027
2026,S1 (Net-zero policy),Ships,Emissions (ktCO2e),42290.36789363202,14.432584701239115
2027,S1 (Net-zero policy),Ships,Emissions (ktCO2e),40717.58561659614,21.368070203107948
2028,S1 (Net-zero policy),Ships,Emissions (ktCO2e),39144.80333956023,28.050968612333747
2029,S1 (Net-zero policy),Ships,Emissions (ktCO2e),37572.02106252433,34.441535700174576
2030,S1 (Net-zero policy),Ships,Emissions (ktCO2e),35999.238785488415,40.508575512058776
2031,S1 (Net-zero policy),Ships,Emissions (ktCO2e),34426.45650845252,46.22966143502424
2032,S1 (Net-zero policy),Ships,Emissions (ktCO2e),32853.67423141664,51.590848065099884
2033,S1 (Net-zero policy),Ships,Emissions (ktCO2e),31280.89195438073,56.58599276313668
2034,S1 (Net-zero policy),Ships,Emissions (ktCO2e),29708.109677344808,61.21581379992185
2035,S1 (Net-zero policy),Ships,Emissions (ktCO2e),28135.327400308925,65.48680424954907
2036,S1 (Net-zero policy),Ships,Emissions (ktCO2e),26562.545123273012,69.4101026959093
2037,S1 (Net-zero policy),Ships,Emissions (ktCO2e),24989.762846237107,73.00039868999892
2038,S1 (Net-zero policy),Ships,Emissions (ktCO2e),23416.98056920121,76.27492706152317
2039,S1 (Net-zero policy),Ships,Emissions (ktCO2e),21844.1982921653,79.25258360333541
2040,S1 (Net-zero policy),Ships,Emissions (ktCO2e),20271.4160151294,81.95317692737281
2041,S1 (Net-zero policy),Ships,Emissions (ktCO2e),18698.633738093504,84.39681797265007
2042,S1 (Net-zero policy),Ships,Emissions (ktCO2e),17125.85146105761,86.60343952943887
2043,S1 (Net-zero policy),Ships,Emissions (ktCO2e),15553.069184021704,88.59243261356052
2044,S1 (Net-zero policy),Ships,Emissions (ktCO2e),13980.2869069858,90.38238380057088
2045,S1 (Net-zero policy),Ships,Emissions (ktCO2e),12407.504629949899,91.99089693395636
2046,S1 (Net-zero policy),Ships,Emissions (ktCO2e),10834.722352913992,93.43448327330115
2047,S1 (Net-zero policy),Ships,Emissions (ktCO2e),9261.940075878085,94.72850560260365
2048,S1 (Net-zero policy),Ships,Emissions (ktCO2e),7689.157798842184,95.88716367021652
2049,S1 (Net-zero policy),Ships,Emissions (ktCO2e),6116.37552180629,96.92351029934827
2050,S1 (Net-zero policy),Ships,Emissions (ktCO2e),4543.593244770386,97.84948941158537
2002,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),40225.06786561302,0.0
2003,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),40965.672224732174,0.0
2004,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),41089.82252964465,0.0
2005,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),39527.140536123305,0.0
2006,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),38719.24799994094,0.0
2007,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),37333.066676870425,0.0
2008,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),38216.41832268459,0.0
2009,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),48721.32469315617,0.0
2010,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),40725.60754405812,0.0
2011,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),38374.588631163206,0.0
2012,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),38370.989710244234,0.0
2013,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),39158.83253707414,0.0
2014,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),55600.83886742563,0.0
2015,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),53730.8304570716,0.0
2016,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),29607.82906178484,0.0
2017,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),34936.556437338266,0.0
2018,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),39447.63433950461,0.0
2019,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),28373.584524056758,0.0
2020,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),48611.428746767546,0.0
2021,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),30156.788763409742,0.0
2022,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),49240.58632975625,0.0
2023,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),46208.94320157988,0.0
2024,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),45435.932447703846,0.0
2025,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),47313.22243758716,0.0
2026,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),49423.44903836827,0.0
2027,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),51782.50835477462,0.0
2028,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),54406.29649153355,0.0
2029,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),57310.709553372464,0.0
2030,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),60511.64364501875,0.0
2031,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),64024.99487119983,0.0
2032,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),67866.65933664312,0.0
2033,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),72052.5331460759,0.0
2034,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),76598.51240422559,0.0
2035,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),81520.4932158197,0.0
2036,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),86834.37168558547,0.0
2037,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),92556.04391825042,0.0
2038,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),98701.40601854183,0.0
2039,S2 (Fuel switch – HGV→HVO),Ships,Emissions (ktCO2e),105286.35409118712,0.0
